,precision,recall,f1-score,support
0,0.9152459814905017,0.9143552311435523,0.9148003894839338,2055.0
1,0.5738498789346247,0.5766423357664233,0.5752427184466019,411.0
accuracy,0.8580697485806975,0.8580697485806975,0.8580697485806975,0.8580697485806975
macro avg,0.7445479302125633,0.7454987834549878,0.7450215539652678,2466.0
weighted avg,0.8583466310645224,0.8580697485806975,0.8582074443110451,2466.0
