,precision,recall,f1-score,support
No Revenue (False),0.9279389312977099,0.9650682756430613,0.9461394769613948,3149.0
Revenue (True),0.7405660377358491,0.5709090909090909,0.6447638603696099,550.0
accuracy,0.9064612057312788,0.9064612057312788,0.9064612057312788,0.9064612057312788
macro avg,0.8342524845167795,0.7679886832760761,0.7954516686655023,3699.0
weighted avg,0.9000786740771034,0.9064612057312788,0.9013282876871365,3699.0
