,False,True,accuracy,macro avg,weighted avg
precision,0.9077809798270894,0.5989583333333334,0.8596918085969181,0.7533696565802114,0.8549329843605992
recall,0.9246575342465754,0.5450236966824644,0.8596918085969181,0.73484061546452,0.8596918085969181
f1-score,0.9161415414444983,0.5707196029776674,0.8596918085969181,0.7434305722110829,0.8570304068001339
support,2044.0,422.0,0.8596918085969181,2466.0,2466.0
