,precision,recall,f1-score,support
0,0.9150805270863837,0.9124087591240876,0.9137426900584795,2055.0
1,0.5683453237410072,0.5766423357664233,0.572463768115942,411.0
accuracy,0.8564476885644768,0.8564476885644768,0.8564476885644768,0.8564476885644768
macro avg,0.7417129254136954,0.7445255474452555,0.7431032290872108,2466.0
weighted avg,0.8572913265288208,0.8564476885644768,0.8568628697347233,2466.0
